number	rule name	confidence	boolean	label	Source
1	Invoke-Expression	high	(iex OR invoke-expression)	commandline	https://www.rapid7.com/blog/post/2019/08/08/the-importance-of-preventing-and-detecting-malicious-powershell-attacks/
2	New-Object	medium	(New-Object)	commandline	https://www.rapid7.com/blog/post/2019/08/08/the-importance-of-preventing-and-detecting-malicious-powershell-attacks/
3	downloadstring	medium	(downloadstring)	commandline	https://www.rapid7.com/blog/post/2019/08/08/the-importance-of-preventing-and-detecting-malicious-powershell-attacks/
4	DumpCreds	high	(DumpCreds OR creds)	tool	https://www.rapid7.com/blog/post/2019/08/08/the-importance-of-preventing-and-detecting-malicious-powershell-attacks/
5	mimikatz	high	(mimikatz)	tool	https://www.rapid7.com/blog/post/2019/08/08/the-importance-of-preventing-and-detecting-malicious-powershell-attacks/
6	invoke-webrequest	high	(invoke-webrequest)	commandline	https://medium.com/@CyberOPS.LittleDog/tryhackme-hacking-with-powershell-834d8b86ec4a
7	encoding	high	(powershell AND (-e OR -enc OR -encodedcommand))	commandline	https://unit42.paloaltonetworks.com/unit42-pulling-back-the-curtains-on-encodedcommand-powershell-attacks/
8	get-hotfix	high	(get-hotfix)	commandline	https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.management/get-hotfix?view=powershell-7.2
9	passwordrequired	high	(password required)	commandline	https://github.com/PowerShell/PowerShell/issues/11965
10	invoke-command	high	(invoke-command)	commandline	https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/invoke-command?view=powershell-7.2
11	pssession	high	(pssession)	commandline	https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_pssessions?view=powershell-7.2
12	Regsvr32.exe	high	(Regsvr32 OR (regsvr32 AND /I OR /s OR http IR https OR ftp OR scrobj.dll))	commandline	https://lolbas-project.github.io/lolbas/Binaries/Regsvr32/
13	nmap	high	(nmap)	tool	https://nmap.org/
14	ncat	high	((nc  OR netcat) AND ( -z OR -w OR -nlvp OR -nv OR -n OR -l OR -v OR -p OR -e))	tool	https://nmap.org/ncat/
15	/bin/bash	high	(bin AND bash)	linux	https://medium.com/@codingmaths/bin-bash-what-exactly-is-this-95fc8db817bf
16	socat	high	(socat)	tool	https://www.redhat.com/sysadmin/getting-started-socat
17	openssl	high	(openssl AND (-newkey OR -nodes OR -keyout OR -days))	tool	https://geekflare.com/openssl-commands-certificates/
18	set-executionpolicy unrestricted	high	(set-executionpolicy AND unrestricted)	commandline	https://github.com/undergroundwires/privacy.sexy/issues/53
19	wget	high	(wget)	commandline	https://linuxize.com/post/wget-command-examples/
20	downloadfile	high	(powershell AND (uploadfile OR downloadfile OR webclient))	commandline	https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/deprecated/powershell_suspicious_download.yml
21	PS generic listener	high	(powershell AND (listener OR tcpclient))	commandline	https://riptutorial.com/powershell/example/18117/tcp-listener
22	powercat	high	(powercat)	tool	https://github.com/besimorhino/powercat
23	grep linux passwords	medium	(grep AND passwd OR /etc/passwd)	commandline	https://explainshell.com/explain?cmd=grep+%24USER+%2Fetc%2Fpasswd#:~:text=explainshell.com%20%2D%20grep%20%24USER%20%2Fetc%2Fpasswd&text=grep%20searches%20the%20named%20input,grep%20prints%20the%20matching%20lines.
24	masscan	medium	(masscan)	tool	https://github.com/robertdavidgraham/masscan
