number,name,boolean,source,enabled
1,Invoke-Expression,(iex OR invoke-expression),https://www.rapid7.com/blog/post/2019/08/08/the-importance-of-preventing-and-detecting-malicious-powershell-attacks/,1
2,New-Object,(New-Object),https://www.rapid7.com/blog/post/2019/08/08/the-importance-of-preventing-and-detecting-malicious-powershell-attacks/,1
3,downloadstring,(downloadstring),https://www.rapid7.com/blog/post/2019/08/08/the-importance-of-preventing-and-detecting-malicious-powershell-attacks/,1
4,DumpCreds,(DumpCreds OR creds),https://www.rapid7.com/blog/post/2019/08/08/the-importance-of-preventing-and-detecting-malicious-powershell-attacks/,1
5,mimikatz,(mimikatz),https://www.rapid7.com/blog/post/2019/08/08/the-importance-of-preventing-and-detecting-malicious-powershell-attacks/,1
6,invoke-webrequest,(invoke-webrequest),https://medium.com/@CyberOPS.LittleDog/tryhackme-hacking-with-powershell-834d8b86ec4a,1
7,encoding,(powershell AND (-e OR -enc OR -encodedcommand)),https://unit42.paloaltonetworks.com/unit42-pulling-back-the-curtains-on-encodedcommand-powershell-attacks/,1
8,get-hotfix,(get-hotfix),https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.management/get-hotfix?view=powershell-7.2,1
9,passwordrequired,(password required),https://github.com/PowerShell/PowerShell/issues/11965,1
10,invoke-command,(invoke-command),https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/invoke-command?view=powershell-7.2,1
11,pssession,(pssession),https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_pssessions?view=powershell-7.2,1
12,Regsvr32.exe,(Regsvr32 OR (regsvr32 AND /I OR /s OR http IR https OR ftp OR scrobj.dll)),https://lolbas-project.github.io/lolbas/Binaries/Regsvr32/,1
13,nmap,(nmap),https://nmap.org/,1
14,ncat,((nc  OR netcat) AND ( -z OR -w OR -nlvp OR -nv OR -n OR -l OR -v OR -p OR -e)),https://nmap.org/ncat/,1
15,/bin/bash,(bin AND bash),https://medium.com/@codingmaths/bin-bash-what-exactly-is-this-95fc8db817bf,1
16,socat,(socat),https://www.redhat.com/sysadmin/getting-started-socat,1
17,openssl,(openssl AND (-newkey OR -nodes OR -keyout OR -days)),https://geekflare.com/openssl-commands-certificates/,1
18,set-executionpolicy unrestricted,(set-executionpolicy AND unrestricted),https://github.com/undergroundwires/privacy.sexy/issues/53,1
19,wget,(wget),https://linuxize.com/post/wget-command-examples/,1
20,downloadfile,(powershell AND (uploadfile OR downloadfile OR webclient)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/deprecated/powershell_suspicious_download.yml,1
21,PS generic listener,(powershell AND (listener OR tcpclient)),https://riptutorial.com/powershell/example/18117/tcp-listener,1
22,powercat,(powercat),https://github.com/besimorhino/powercat,1
23,grep linux passwords,(grep AND passwd OR /etc/passwd),"https://explainshell.com/explain?cmd=grep+%24USER+%2Fetc%2Fpasswd#:~:text=explainshell.com%20%2D%20grep%20%24USER%20%2Fetc%2Fpasswd&text=grep%20searches%20the%20named%20input,grep%20prints%20the%20matching%20lines.",1
24,masscan,(masscan),https://github.com/robertdavidgraham/masscan,1
25,nbtscan,(nbtscan),http://www.unixwiz.net/tools/nbtscan.html,1
